batch_size,enest_forward_mean_ms,enest_forward_std_ms,drugcell_forward_mean_ms,drugcell_forward_std_ms,forward_speedup_ratio,enest_training_iteration_mean_ms,enest_training_iteration_std_ms,drugcell_training_iteration_mean_ms,drugcell_training_iteration_std_ms,training_iteration_speedup_ratio,enest_backward_mean_ms,enest_backward_std_ms,drugcell_backward_mean_ms,drugcell_backward_std_ms,backward_speedup_ratio
2,3.683177921921015,0.13552743482998317,74.41603291779757,0.946627632720683,20.204300333931414,14.07087355852127,1.491767389939767,321.20412815362215,9.419776803099694,22.827589688566427,14.07087355852127,1.491767389939767,321.20412815362215,9.419776803099694,22.827589688566427
4,4.266365375369787,0.1665823875782851,74.43380240350962,2.0007689765651793,17.44665443640257,14.271177407354116,0.9158344239355297,303.3820530772209,24.62324108377861,21.258375845071082,14.271177407354116,0.9158344239355297,303.3820530772209,24.62324108377861,21.258375845071082
8,4.1954150795936584,0.07997795886634637,74.80822715908289,7.651151621230746,17.830947770328446,14.269659649580717,0.9387900703723097,269.3094046227634,4.368532332979169,18.87286811572107,14.269659649580717,0.9387900703723097,269.3094046227634,4.368532332979169,18.87286811572107
16,4.224690850824118,0.1043638411365658,73.88240730389953,1.6287836953464836,17.488239947660823,14.439987801015377,1.0406190608450554,270.565077830106,8.78849872908584,18.7372095848364,14.439987801015377,1.0406190608450554,270.565077830106,8.78849872908584,18.7372095848364
32,4.412346091121435,0.10065842346896199,76.4396459236741,1.71582351279409,17.324036769800696,14.639940727502108,0.973457635898961,273.2420512288809,4.172557060559591,18.664150102437056,14.639940727502108,0.973457635898961,273.2420512288809,4.172557060559591,18.664150102437056
64,4.575522281229496,0.19207458017362714,76.36903427541256,1.4974872536062804,16.690779670925636,14.513787347823381,0.9260102078624017,274.70491774380207,9.29795758305567,18.927169811744506,14.513787347823381,0.9260102078624017,274.70491774380207,9.29795758305567,18.927169811744506
128,4.472641348838806,0.08780769014098938,77.49853298068047,2.5895179575617187,17.327240647363947,14.772362876683474,0.9008543005657438,281.99320992454886,4.503311723859171,19.089242004042813,14.772362876683474,0.9008543005657438,281.99320992454886,4.503311723859171,19.089242004042813
256,4.592309482395649,0.24826228217105162,80.42158138006926,1.4513310537498394,17.512230325147012,14.501926340162754,1.456557094347385,286.8931195884943,8.142956705437035,19.78310417933584,14.501926340162754,1.456557094347385,286.8931195884943,8.142956705437035,19.78310417933584
512,5.399986170232296,0.16132515046439477,81.20234619826078,1.3440912061264718,15.037510030283583,15.350348725914955,0.7053345695605749,291.3553117401898,4.017067183843111,18.980370865993052,15.350348725914955,0.7053345695605749,291.3553117401898,4.017067183843111,18.980370865993052
1024,5.631926227360964,0.15881519333693608,82.69878644496202,7.673410362879676,14.683925730986259,15.402106195688248,0.4453142448900604,293.28564938157797,4.134614846276588,19.041918400983498,15.402106195688248,0.4453142448900604,293.28564938157797,4.134614846276588,19.041918400983498
2048,7.805227730423212,0.058121775213120855,81.9092028401792,1.530483660338929,10.494146445069573,23.652658760547638,0.6523819920997471,326.3256851583719,8.317275912099978,13.796575195287534,23.652658760547638,0.6523819920997471,326.3256851583719,8.317275912099978,13.796575195287534
4096,12.183383125811815,0.14334614474989021,81.52029605582356,1.2892572782417535,6.691105025098817,42.158532831817865,0.8553974528949061,466.21389584615827,2.041100235708715,11.0585891996293,42.158532831817865,0.8553974528949061,466.21389584615827,2.041100235708715,11.0585891996293
8192,22.338490579277277,0.0746435220557533,82.01806794852018,1.3626920226642254,3.671602951750276,81.92647529765964,0.19358230842181356,814.033300857991,5.084776064591448,9.936144547905934,81.92647529765964,0.19358230842181356,814.033300857991,5.084776064591448,9.936144547905934
