Statistic,Drug,Method,Test,Adjustment,P-value
Pearson,D127,Direct Output Direct Input Uniform Random Sparse NN,Wilcoxon,BH-adjusted,0.173
Pearson,D127,Fully Connected NN Direct Input,Wilcoxon,BH-adjusted,0.101
Pearson,D127,Fully Connected NN Direct Input Direct Layer Predictions,Wilcoxon,BH-adjusted,0.054
Pearson,D151,Direct Output Direct Input Uniform Random Sparse NN,Wilcoxon,BH-adjusted,0.927
Pearson,D188,Fully Connected NN Direct Input Direct Layer Predictions,Wilcoxon,BH-adjusted,0.059
Pearson,D380,Direct Output Direct Input Uniform Random Sparse NN,Wilcoxon,BH-adjusted,0.097
Pearson,D380,Fully Connected NN Direct Input,Wilcoxon,BH-adjusted,0.085
Pearson,D5,Direct Output Direct Input Uniform Random Sparse NN,Wilcoxon,BH-adjusted,0.175
Pearson,D5,Direct Output Uniform Random Sparse NN,Wilcoxon,BH-adjusted,0.1
Pearson,D5,Fully Connected NN Direct Input Direct Layer Predictions,Wilcoxon,BH-adjusted,0.093
Pearson,D80,Direct Output Direct Input Uniform Random Sparse NN,Wilcoxon,BH-adjusted,0.097
Pearson,D80,Nest VNN,Wilcoxon,BH-adjusted,0.092
Pearson,D99,Direct Output Direct Input Uniform Random Sparse NN,Wilcoxon,BH-adjusted,0.123
Pearson,D127,Direct Output Direct Input Uniform Random Sparse NN,Wilcoxon,unadjusted,0.138
Pearson,D127,Fully Connected NN Direct Input,Wilcoxon,unadjusted,0.101
Pearson,D151,Direct Output Direct Input Uniform Random Sparse NN,Wilcoxon,unadjusted,0.927
Pearson,D188,Fully Connected NN Direct Input Direct Layer Predictions,Wilcoxon,unadjusted,0.053
Pearson,D380,Direct Output Direct Input Uniform Random Sparse NN,Wilcoxon,unadjusted,0.058
Pearson,D380,Fully Connected NN Direct Input,Wilcoxon,unadjusted,0.076
Pearson,D5,Direct Output Direct Input Uniform Random Sparse NN,Wilcoxon,unadjusted,0.157
Pearson,D5,Direct Output Uniform Random Sparse NN,Wilcoxon,unadjusted,0.1
Pearson,D5,Fully Connected NN Direct Input Direct Layer Predictions,Wilcoxon,unadjusted,0.093
Pearson,D80,Nest VNN,Wilcoxon,unadjusted,0.092
Pearson,D99,Direct Output Direct Input Uniform Random Sparse NN,Wilcoxon,unadjusted,0.086
Pearson,D127,Direct Output Direct Input Uniform Random Sparse NN,t-test,BH-adjusted,0.106
Pearson,D151,Direct Output Direct Input Uniform Random Sparse NN,t-test,BH-adjusted,0.704
Pearson,D380,Direct Output Direct Input Uniform Random Sparse NN,t-test,BH-adjusted,0.056
Pearson,D5,Direct Output Direct Input Uniform Random Sparse NN,t-test,BH-adjusted,0.167
Pearson,D5,Direct Output Uniform Random Sparse NN,t-test,BH-adjusted,0.089
Pearson,D5,ERK SNN,t-test,BH-adjusted,0.052
Pearson,D5,Fully Connected NN Direct Input Direct Layer Predictions,t-test,BH-adjusted,0.16
Pearson,D80,Nest VNN,t-test,BH-adjusted,0.093
Pearson,D99,Direct Output Direct Input Uniform Random Sparse NN,t-test,BH-adjusted,0.106
Pearson,D127,Direct Output Direct Input Uniform Random Sparse NN,t-test,unadjusted,0.08
Pearson,D151,Direct Output Direct Input Uniform Random Sparse NN,t-test,unadjusted,0.704
Pearson,D5,Direct Output Direct Input Uniform Random Sparse NN,t-test,unadjusted,0.15
Pearson,D5,Direct Output Uniform Random Sparse NN,t-test,unadjusted,0.089
Pearson,D5,ERK SNN,t-test,unadjusted,0.052
Pearson,D5,Fully Connected NN Direct Input Direct Layer Predictions,t-test,unadjusted,0.16
Pearson,D80,Nest VNN,t-test,unadjusted,0.093
Pearson,D99,Direct Output Direct Input Uniform Random Sparse NN,t-test,unadjusted,0.085
R²,D151,Direct Output Direct Input Uniform Random Sparse NN,Wilcoxon,BH-adjusted,0.249
R²,D151,Direct Output Direct Input Uniform Random Sparse NN,Wilcoxon,unadjusted,0.249
R²,D151,Direct Output Direct Input Uniform Random Sparse NN,t-test,BH-adjusted,0.162
R²,D380,Global Prune NN,t-test,BH-adjusted,0.059
R²,D151,Direct Output Direct Input Uniform Random Sparse NN,t-test,unadjusted,0.162
R²,D380,Global Prune NN,t-test,unadjusted,0.059
